survey_year,geography_level,borough,demographic_group,category,pct_active,pct_fairly_active,pct_inactive,respondents,weighted_base,suppress,source_file
2016-17,borough,Barking and Dagenham,Age9,16-24,52.3699649601172,13.032440047439417,34.59759499244336,89.0,92.12841898645469,False,surveydata1617.sav
2016-17,borough,Barking and Dagenham,Age9,25-34,49.69682558401598,16.026466424610494,34.276707991373534,174.0,151.48053828911634,False,surveydata1617.sav
2016-17,borough,Barking and Dagenham,Age9,35-44,54.42473849301099,19.630295117259752,25.94496638972928,237.0,160.4157365740059,False,surveydata1617.sav
2016-17,borough,Barking and Dagenham,Age9,45-54,56.80993997972007,13.016636903503152,30.173423116776764,157.0,112.23997943057066,False,surveydata1617.sav
2016-17,borough,Barking and Dagenham,Age9,55-64,42.01647746764015,12.647743403897243,45.3357791284626,134.0,71.80894376892783,False,surveydata1617.sav
2016-17,borough,Barking and Dagenham,Age9,65-74,38.641381979925995,18.91772845621063,42.44088956386339,96.0,38.76586106403663,False,surveydata1617.sav
2016-17,borough,Barking and Dagenham,Age9,75-84,18.840849956719307,18.747560402884623,62.4115896403961,50.0,25.30407796864832,False,surveydata1617.sav
2016-17,borough,Barking and Dagenham,Age9,85+,20.076023098413454,36.13314737470186,43.790829526884686,9.0,4.183710409356448,True,surveydata1617.sav
2016-17,borough,Barnet,Age9,16-24,56.10488529481905,10.533611792390683,33.36150291279025,74.0,190.80498150914403,False,surveydata1617.sav
2016-17,borough,Barnet,Age9,25-34,63.42422790278213,8.623869460216104,27.95190263700177,145.0,253.43017812840358,False,surveydata1617.sav
2016-17,borough,Barnet,Age9,35-44,62.49378584706942,14.167399379162301,23.33881477376828,217.0,279.47648971658805,False,surveydata1617.sav
2016-17,borough,Barnet,Age9,45-54,58.51434985670365,17.896164489691515,23.589485653604847,159.0,190.92335400602656,False,surveydata1617.sav
2016-17,borough,Barnet,Age9,55-64,59.48470705180859,12.210383370224882,28.3049095779665,148.0,152.29910790396855,False,surveydata1617.sav
2016-17,borough,Barnet,Age9,65-74,56.40283782237143,12.452886198025968,31.144275979602597,156.0,127.9691109778464,False,surveydata1617.sav
2016-17,borough,Barnet,Age9,75-84,27.815641883353948,9.167222023716585,63.01713609292945,77.0,102.29106002890333,False,surveydata1617.sav
2016-17,borough,Barnet,Age9,85+,19.096945900752196,12.229060503812146,68.67399359543566,17.0,24.859927066331235,True,surveydata1617.sav
2016-17,borough,Bexley,Age9,16-24,61.18327576417462,21.765091463032647,17.05163277279274,31.0,108.03684723687773,False,surveydata1617.sav
2016-17,borough,Bexley,Age9,25-34,62.02327429044113,18.569290219164404,19.407435490394455,75.0,148.12597810671568,False,surveydata1617.sav
2016-17,borough,Bexley,Age9,35-44,50.17310672609272,21.09720446142224,28.729688812485044,92.0,157.00577214873718,False,surveydata1617.sav
2016-17,borough,Bexley,Age9,45-54,66.81259625652687,17.29653534038264,15.89086840309048,91.0,161.0641816559688,False,surveydata1617.sav
2016-17,borough,Bexley,Age9,55-64,63.85287034183092,5.084284983033995,31.062844675135093,81.0,122.41516685063178,False,surveydata1617.sav
2016-17,borough,Bexley,Age9,65-74,46.983267491090885,19.956584366774756,33.06014814213435,73.0,80.39256053501371,False,surveydata1617.sav
2016-17,borough,Bexley,Age9,75-84,34.10528188136715,19.832068474735635,46.06264964389721,37.0,60.97153563395671,False,surveydata1617.sav
2016-17,borough,Bexley,Age9,85+,31.137724648723598,18.5923719068733,50.2699034444031,9.0,13.052642459637145,True,surveydata1617.sav
2016-17,borough,Brent,Age9,16-24,68.98385579624497,16.745090041887302,14.271054161867724,49.0,183.54958644259858,False,surveydata1617.sav
2016-17,borough,Brent,Age9,25-34,47.64038235903805,9.503893772066103,42.855723868895865,90.0,274.78228310349056,False,surveydata1617.sav
2016-17,borough,Brent,Age9,35-44,59.65301557176531,4.774690460048168,35.57229396818652,110.0,251.3940855302764,False,surveydata1617.sav
2016-17,borough,Brent,Age9,45-54,69.2335220208747,9.040948476294563,21.725529502830728,71.0,154.2471869794414,False,surveydata1617.sav
2016-17,borough,Brent,Age9,55-64,46.38953057834991,17.40123874096912,36.20923068068096,68.0,112.4496879418522,False,surveydata1617.sav
2016-17,borough,Brent,Age9,65-74,44.21951442973312,15.785337460191299,39.99514811007558,59.0,88.59238969462152,False,surveydata1617.sav
2016-17,borough,Brent,Age9,75-84,57.09554757270459,7.776184254007629,35.1282681732878,25.0,47.53310126703226,True,surveydata1617.sav
2016-17,borough,Brent,Age9,85+,0.0,67.94534998208083,32.05465001791919,3.0,6.744907224224141,True,surveydata1617.sav
2016-17,borough,Bromley,Age9,16-24,87.99261922228058,11.201058244603127,0.8063225331162981,25.0,119.82327995207368,True,surveydata1617.sav
2016-17,borough,Bromley,Age9,25-34,70.07267834072242,6.7810086963327105,23.14631296294487,74.0,199.89474370772675,False,surveydata1617.sav
2016-17,borough,Bromley,Age9,35-44,71.43947638327569,15.057336742147779,13.503186874576514,99.0,224.79144903358355,False,surveydata1617.sav
2016-17,borough,Bromley,Age9,45-54,73.49799568955207,7.489873305704845,19.012131004743075,84.0,201.7667987306476,False,surveydata1617.sav
2016-17,borough,Bromley,Age9,55-64,70.83756321211884,8.113012334149982,21.049424453731184,80.0,180.2996750595211,False,surveydata1617.sav
2016-17,borough,Bromley,Age9,65-74,66.4962769931074,19.978083048845807,13.525639958046803,87.0,124.97419174583413,False,surveydata1617.sav
2016-17,borough,Bromley,Age9,75-84,26.350846554303963,17.772078026347522,55.87707541934851,28.0,59.754211310191145,True,surveydata1617.sav
2016-17,borough,Bromley,Age9,85+,16.615327598606704,9.659720692263546,73.72495170912974,14.0,23.93848387274747,True,surveydata1617.sav
2016-17,borough,Camden,Age9,16-24,67.2424853845293,12.094899359500006,20.662615255970692,58.0,197.59088875512037,False,surveydata1617.sav
2016-17,borough,Camden,Age9,25-34,75.53673030810842,16.22292690565952,8.240342786232095,102.0,224.23180399813126,False,surveydata1617.sav
2016-17,borough,Camden,Age9,35-44,85.43581041075437,2.0189023225342955,12.545287266711316,62.0,91.50667035780909,False,surveydata1617.sav
2016-17,borough,Camden,Age9,45-54,77.00681516691849,14.647402026565572,8.345782806515945,94.0,137.4060583625253,False,surveydata1617.sav
