borough,population
Barking and Dagenham,222308
Barnet,395007
Bexley,250853
Brent,344521
Bromley,331162
Camden,220903
City of London,13462
Croydon,397741
Ealing,375340
Enfield,327429
Greenwich,294113
Hackney,263282
Hammersmith and Fulham,186176
Haringey,262895
Harrow,263448
Havering,268145
Hillingdon,319018
Hounslow,295706
Islington,220584
Kensington and Chelsea,147460
Kingston upon Thames,170454
Lambeth,315706
Lewisham,298708
Merton,215219
Newham,362552
Redbridge,313392
Richmond upon Thames,195513
Southwark,315519
Sutton,211123
Tower Hamlets,328626
Waltham Forest,275980
Wandsworth,331456
Westminster,211508
