session_id,provider_group,source_operator,name,activity_type,activity_raw,borough,location_name,street_address,postcode,latitude,longitude,start_time,end_time,days_of_week,is_free,price_gbp,session_count,is_online,url,first_session_id,source_file
B_11799,Better,Better,Core Conditioning Sat 13:15,Personal Training,Core Stability,Lambeth,Herne Hill Lifestyle Centre,,SE24 0AG,51.4563048,-0.1002302,13:15,14:00,Saturday,False,9.85,,,https://bookings.better.org.uk/location/herne-hill-lifestyle/fitness-classes-c,B_11799,session_series_summary_cleaned.csv
B_12732,Better,Better,Power Pump Wed 19:50,Personal Training,Pump Fx,Lambeth,Herne Hill Lifestyle Centre,,SE24 0AG,51.4563048,-0.1002302,19:50,20:45,Wednesday,False,9.4,,,https://bookings.better.org.uk/location/herne-hill-lifestyle/fitness-classes-c,B_12732,session_series_summary_cleaned.csv
B_13368,Better,Better,Power Pump Mon 20:00,Personal Training,Pump Fx,Lambeth,Herne Hill Lifestyle Centre,,SE24 0AG,51.4563048,-0.1002302,20:00,20:50,Monday,False,9.4,,,https://bookings.better.org.uk/location/herne-hill-lifestyle/fitness-classes-c,B_13368,session_series_summary_cleaned.csv
B_12735,Better,Better,Functional Fitness Thu 07:15,Personal Training,Functional Fitness,Lambeth,Herne Hill Lifestyle Centre,,SE24 0AG,51.4563048,-0.1002302,07:15,08:00,Thursday,False,4.0,,,https://bookings.better.org.uk/location/herne-hill-lifestyle/fitness-classes-c,B_12735,session_series_summary_cleaned.csv
B_11754,Better,Better,Body Conditioning Tue 18:30,Personal Training,Body Conditioning,Lambeth,Herne Hill Lifestyle Centre,,SE24 0AG,51.4563048,-0.1002302,18:30,19:25,Tuesday,False,9.4,,,https://bookings.better.org.uk/location/herne-hill-lifestyle/fitness-classes-c,B_11754,session_series_summary_cleaned.csv
B_11760,Better,Better,Pilates Mon 19:15,"Yoga, Pilates & Studio",Pilates,Lambeth,Herne Hill Lifestyle Centre,,SE24 0AG,51.4563048,-0.1002302,19:15,20:10,Monday,False,9.4,,,https://bookings.better.org.uk/location/herne-hill-lifestyle/fitness-classes-c,B_11760,session_series_summary_cleaned.csv
B_12737,Better,Better,"Legs, Bums and Tums Thu 18:00",Personal Training,Legs Bums And Tums,Lambeth,Herne Hill Lifestyle Centre,,SE24 0AG,51.4563048,-0.1002302,18:00,19:00,Thursday,False,9.4,,,https://bookings.better.org.uk/location/herne-hill-lifestyle/fitness-classes-c,B_12737,session_series_summary_cleaned.csv
B_12794,Better,Better,Group Cycle Wed 18:00,Cycling,Indoor Cycling,Lambeth,Herne Hill Lifestyle Centre,,SE24 0AG,51.4563048,-0.1002302,18:00,18:45,Wednesday,False,9.4,,,https://bookings.better.org.uk/location/herne-hill-lifestyle/fitness-classes-c,B_12794,session_series_summary_cleaned.csv
B_11764,Better,Better,Dance Fitness Sat 12:15,"Yoga, Pilates & Studio",Dance Fitness,Lambeth,Herne Hill Lifestyle Centre,,SE24 0AG,51.4563048,-0.1002302,12:15,13:10,Saturday,False,9.85,,,https://bookings.better.org.uk/location/herne-hill-lifestyle/fitness-classes-c,B_11764,session_series_summary_cleaned.csv
B_11761,Better,Better,Pilates Tue 19:30,"Yoga, Pilates & Studio",Pilates,Lambeth,Herne Hill Lifestyle Centre,,SE24 0AG,51.4563048,-0.1002302,19:30,20:25,Tuesday,False,9.4,,,https://bookings.better.org.uk/location/herne-hill-lifestyle/fitness-classes-c,B_11761,session_series_summary_cleaned.csv
B_13690,Better,Better,Combat Tue 20:15,Personal Training,Body Combat™,Lambeth,Herne Hill Lifestyle Centre,,SE24 0AG,51.4563048,-0.1002302,20:15,21:00,Tuesday,False,10.0,,,https://bookings.better.org.uk/location/herne-hill-lifestyle/fitness-classes-c,B_13690,session_series_summary_cleaned.csv
B_1810,Better,Better,Body Conditioning Wed 19:15,Personal Training,Body Conditioning,Lambeth,Herne Hill Lifestyle Centre,,SE24 0AG,51.4563048,-0.1002302,19:15,20:10,Wednesday,False,9.4,,,https://bookings.better.org.uk/location/herne-hill-lifestyle/fitness-classes-c,B_1810,session_series_summary_cleaned.csv
B_6128,Better,Better,HIIT Mon 18:45,Personal Training,HIIT,Lambeth,Herne Hill Lifestyle Centre,,SE24 0AG,51.4563048,-0.1002302,18:45,19:30,Monday,False,9.4,,,https://bookings.better.org.uk/location/herne-hill-lifestyle/fitness-classes-c,B_6128,session_series_summary_cleaned.csv
B_4692,Better,Better,Group Cycle Thu 12:45,Cycling,Indoor Cycling,Lambeth,Herne Hill Lifestyle Centre,,SE24 0AG,51.4563048,-0.1002302,12:45,13:25,Thursday,False,9.4,,,https://bookings.better.org.uk/location/herne-hill-lifestyle/fitness-classes-c,B_4692,session_series_summary_cleaned.csv
B_13844,Better,Better,"Legs, Bums and Tums Sun 12:00",Personal Training,Legs Bums And Tums,Lambeth,Herne Hill Lifestyle Centre,,SE24 0AG,51.4563048,-0.1002302,12:00,13:00,Sunday,False,9.4,,,https://bookings.better.org.uk/location/herne-hill-lifestyle/fitness-classes-c,B_13844,session_series_summary_cleaned.csv
B_12615,Better,Better,Pilates Sat 09:00,"Yoga, Pilates & Studio",Pilates,Lambeth,Herne Hill Lifestyle Centre,,SE24 0AG,51.4563048,-0.1002302,09:00,10:00,Saturday,False,9.4,,,https://bookings.better.org.uk/location/herne-hill-lifestyle/fitness-classes-c,B_12615,session_series_summary_cleaned.csv
B_12924,Better,Better,Group Cycle Wed 12:00,Cycling,Indoor Cycling,Lambeth,Clapham Leisure Centre,,SW4 6DB,51.4611107,-0.1364914,12:00,12:45,Wednesday,False,10.0,,,https://bookings.better.org.uk/location/clapham-leisure-centre/fitness-classes-c,B_12924,session_series_summary_cleaned.csv
B_2207,Better,Better,Group Cycle Sun 09:15,Cycling,Indoor Cycling,Lambeth,Clapham Leisure Centre,,SW4 6DB,51.4611107,-0.1364914,09:15,10:00,Sunday,False,10.0,,,https://bookings.better.org.uk/location/clapham-leisure-centre/fitness-classes-c,B_2207,session_series_summary_cleaned.csv
B_2237,Better,Better,Group Cycle Tue 18:30,Cycling,Indoor Cycling,Lambeth,Clapham Leisure Centre,,SW4 6DB,51.4611107,-0.1364914,18:30,19:15,Tuesday,False,10.0,,,https://bookings.better.org.uk/location/clapham-leisure-centre/fitness-classes-c,B_2237,session_series_summary_cleaned.csv
B_2240,Better,Better,Group Cycle Tue 20:00,Cycling,Indoor Cycling,Lambeth,Clapham Leisure Centre,,SW4 6DB,51.4611107,-0.1364914,20:00,20:45,Tuesday,False,10.0,,,https://bookings.better.org.uk/location/clapham-leisure-centre/fitness-classes-c,B_2240,session_series_summary_cleaned.csv
B_2242,Better,Better,Group Cycle Fri 07:00,Cycling,Indoor Cycling,Lambeth,Clapham Leisure Centre,,SW4 6DB,51.4611107,-0.1364914,07:00,07:45,Friday,False,10.0,,,https://bookings.better.org.uk/location/clapham-leisure-centre/fitness-classes-c,B_2242,session_series_summary_cleaned.csv
B_6778,Better,Better,Group Cycle Fri 13:00,Cycling,Indoor Cycling,Lambeth,Clapham Leisure Centre,,SW4 6DB,51.4611107,-0.1364914,13:00,13:45,Friday,False,10.0,,,https://bookings.better.org.uk/location/clapham-leisure-centre/fitness-classes-c,B_6778,session_series_summary_cleaned.csv
B_20177,Better,Better,Mindfulness Basics Wed 12:00,Personal Training,Group Exercise,Bromley,Crystal Palace National Sports Centre,,SE19 2BB,51.4179954,-0.0861287,12:00,12:30,Wednesday,False,10.0,,,https://bookings.better.org.uk/location/crystal-palace-leisure-centre/fitness-classes-c,B_20177,session_series_summary_cleaned.csv
B_2248,Better,Better,Aqua Aerobics Mon 09:30,Swimming,Aqua Aerobics,Lambeth,Clapham Leisure Centre,,SW4 6DB,51.4611107,-0.1364914,09:30,10:15,Monday,False,12.0,,,https://bookings.better.org.uk/location/clapham-leisure-centre/fitness-classes-c,B_2248,session_series_summary_cleaned.csv
B_2251,Better,Better,Aqua Aerobics Mon 19:15,Swimming,Aqua Aerobics,Lambeth,Clapham Leisure Centre,,SW4 6DB,51.4611107,-0.1364914,19:15,20:00,Monday,False,12.0,,,https://bookings.better.org.uk/location/clapham-leisure-centre/fitness-classes-c,B_2251,session_series_summary_cleaned.csv
B_3371,Better,Better,Aqua Aerobics Tue 12:10,Swimming,Aqua Aerobics,Lambeth,Clapham Leisure Centre,,SW4 6DB,51.4611107,-0.1364914,12:10,12:55,Tuesday,False,12.0,,,https://bookings.better.org.uk/location/clapham-leisure-centre/fitness-classes-c,B_3371,session_series_summary_cleaned.csv
B_7105,Better,Better,Aqua Aerobics Thu 19:15,Swimming,Aqua Aerobics,Lambeth,Clapham Leisure Centre,,SW4 6DB,51.4611107,-0.1364914,19:15,20:00,Thursday,False,12.0,,,https://bookings.better.org.uk/location/clapham-leisure-centre/fitness-classes-c,B_7105,session_series_summary_cleaned.csv
B_21807,Better,Better,Aerobics Basics Tue 11:30,Personal Training,Aerobics,Hackney,Britannia Leisure Centre,,N1 5FT,51.5377218,-0.0970473,11:30,12:30,Tuesday,False,10.0,,,https://bookings.better.org.uk/location/britannia-leisure-centre/fitness-classes-c,B_21807,session_series_summary_cleaned.csv
B_11227,Better,Better,Adult Swimming Lessons - Beginner/Improver 60+ Tue 09:05,Swimming,Swimming Lessons,Lewisham,Forest Hill Pools,,SE23 3HZ,51.4414858,-0.0491513,09:05,09:50,Tuesday,,,,,https://bookings.better.org.uk/location/forest-hill-pools/swim-doctor,B_11227,session_series_summary_cleaned.csv
B_13177,Better,Better,Active for Life - Swimming for Disabled Adults Mon 11:00,Swimming,Swimming,Kensington and Chelsea,Kensington Leisure Centre,,W10 6EX,51.5230766,-0.2176568,11:00,12:00,Monday,True,0.0,,,https://bookings.better.org.uk/location/kensington-leisure-centre/active-for-life,B_13177,session_series_summary_cleaned.csv
B_13179,Better,Better,Active for Life - Women Only Power and Pump Mon 09:45,Personal Training,Group Exercise,Kensington and Chelsea,Kensington Leisure Centre,,W10 6EX,51.5230766,-0.2176568,09:45,10:45,Monday,True,0.0,,,https://bookings.better.org.uk/location/kensington-leisure-centre/active-for-life,B_13179,session_series_summary_cleaned.csv
B_24900,Better,Better,Zumba Wed 10:00,Personal Training,Zumba®,Bromley,Crystal Palace National Sports Centre,,SE19 2BB,51.4179954,-0.0861287,10:00,10:50,Wednesday,False,7.3,,,https://bookings.better.org.uk/location/crystal-palace-leisure-centre/fitness-classes-c,B_24900,session_series_summary_cleaned.csv
B_9481,Better,Better,Swim for 60+ Mon 14:00,Swimming,Swimming,Greenwich,The Eltham Centre,,SE9 1HA,51.4451387,0.0548051,14:00,15:00,Monday,,,,,https://bookings.better.org.uk/location/eltham-centre/swim-for-60,B_9481,session_series_summary_cleaned.csv
