id,name,activity,price,location_name,street,locality,postcode,latitude,longitude,price_imputed,activity_type,borough,price_gbp,session_id,provider_group,source_operator,activity_raw,is_free,start_time,end_time,days_of_week,session_count,is_online,url,n_occurrences,street_address,first_session_id,unified_id
activity_recurrence_group:11799,Core Conditioning,"Core Stability, Abs/Core, Group Exercise",9.85,Herne Hill Lifestyle Centre,Ferndene Rd,Brixton,SE24 0AG,51.460666,-0.09653,False,"Core Stability, Abs/Core, Group Exercise",Brixton,9.85,,,,,False,,,,,,,,,,activity_recurrence_group:11799
activity_recurrence_group:12732,Power Pump,Pump Fx,9.4,Herne Hill Lifestyle Centre,Ferndene Rd,Brixton,SE24 0AG,51.460666,-0.09653,False,Pump Fx,Brixton,9.4,,,,,False,,,,,,,,,,activity_recurrence_group:12732
activity_recurrence_group:13368,Power Pump,Pump Fx,9.4,Herne Hill Lifestyle Centre,Ferndene Rd,Brixton,SE24 0AG,51.460666,-0.09653,False,Pump Fx,Brixton,9.4,,,,,False,,,,,,,,,,activity_recurrence_group:13368
activity_recurrence_group:12735,Functional Fitness,Functional Fitness,4.0,Herne Hill Lifestyle Centre,Ferndene Rd,Brixton,SE24 0AG,51.460666,-0.09653,False,Functional Fitness,Brixton,4.0,,,,,False,,,,,,,,,,activity_recurrence_group:12735
activity_recurrence_group:11754,Body Conditioning,Body Conditioning,9.4,Herne Hill Lifestyle Centre,Ferndene Rd,Brixton,SE24 0AG,51.460666,-0.09653,False,Body Conditioning,Brixton,9.4,,,,,False,,,,,,,,,,activity_recurrence_group:11754
activity_recurrence_group:11760,Pilates,Pilates,9.4,Herne Hill Lifestyle Centre,Ferndene Rd,Brixton,SE24 0AG,51.460666,-0.09653,False,Pilates,Brixton,9.4,,,,,False,,,,,,,,,,activity_recurrence_group:11760
activity_recurrence_group:12737,"Legs, Bums and Tums",Legs Bums And Tums,9.4,Herne Hill Lifestyle Centre,Ferndene Rd,Brixton,SE24 0AG,51.460666,-0.09653,False,Legs Bums And Tums,Brixton,9.4,,,,,False,,,,,,,,,,activity_recurrence_group:12737
activity_recurrence_group:12794,Group Cycle,Indoor Cycling,9.4,Herne Hill Lifestyle Centre,Ferndene Rd,Brixton,SE24 0AG,51.460666,-0.09653,False,Indoor Cycling,Brixton,9.4,,,,,False,,,,,,,,,,activity_recurrence_group:12794
activity_recurrence_group:11764,Dance Fitness,"Dance Fitness, Group Exercise",9.85,Herne Hill Lifestyle Centre,Ferndene Rd,Brixton,SE24 0AG,51.460666,-0.09653,False,"Dance Fitness, Group Exercise",Brixton,9.85,,,,,False,,,,,,,,,,activity_recurrence_group:11764
activity_recurrence_group:11761,Pilates,Pilates,9.4,Herne Hill Lifestyle Centre,Ferndene Rd,Brixton,SE24 0AG,51.460666,-0.09653,False,Pilates,Brixton,9.4,,,,,False,,,,,,,,,,activity_recurrence_group:11761
activity_recurrence_group:13690,Combat,Body Combat™,10.0,Herne Hill Lifestyle Centre,Ferndene Rd,Brixton,SE24 0AG,51.460666,-0.09653,False,Body Combat™,Brixton,10.0,,,,,False,,,,,,,,,,activity_recurrence_group:13690
