session_id,provider_group,source_operator,name,activity_type,activity_raw,is_free,price_gbp,location_name,postcode,borough,latitude,longitude,start_time,end_time,days_of_week,session_count,is_online,url
V_00052,Everyone Active,Everyone Active,Core Fitness Tue 19:00,Gym / Fitness,Abs/Core,False,11.1,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,18:00,18:45,Tuesday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1802CCF19000324&Culture=en-GB
V_00026,Everyone Active,Everyone Active,Aqua Aerobics Thu 12:15,Swimming,Aqua Aerobics,False,11.1,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,11:15,12:00,Thursday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1804CAA12150423&Culture=en-GB
V_00027,Everyone Active,Everyone Active,Aqua Aerobics Tue 12:15,Swimming,Aqua Aerobics,False,11.1,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,11:15,12:00,Tuesday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1802CAA12150124&Culture=en-GB
V_00033,Everyone Active,Everyone Active,BodyCombat Mon 19:00,Gym / Fitness,Body Combat™,False,11.1,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,18:00,18:45,Monday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1801CBC19000324&Culture=en-GB
V_00034,Everyone Active,Everyone Active,BodyCombat Wed 18:00,Gym / Fitness,Body Combat™,False,11.1,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,17:00,17:45,Wednesday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1803CBC18000324&Culture=en-GB
V_00030,Everyone Active,Everyone Active,BodyAttack Wed 09:30,Gym / Fitness,Bodyattack™,False,11.1,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,08:30,09:15,Wednesday,3,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1803CBA09300324&Culture=en-GB
V_00040,Everyone Active,Everyone Active,Bodyattack Mon 09:30,Gym / Fitness,Bodyattack™,False,11.1,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,08:30,09:15,Monday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1801CBA09300324&Culture=en-GB
V_00041,Everyone Active,Everyone Active,Bodyattack Sat 11:15,Gym / Fitness,Bodyattack™,False,11.1,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,10:15,11:00,Saturday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1806CBA11151125&Culture=en-GB
V_00031,Everyone Active,Everyone Active,BodyBalance Thu 19:00,Gym / Fitness,Bodybalance™,False,11.1,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,18:00,18:45,Thursday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1804CBB19000324&Culture=en-GB
V_00032,Everyone Active,Everyone Active,BodyBalance Wed 10:30,Gym / Fitness,Bodybalance™,False,11.1,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,09:30,10:15,Wednesday,3,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1803CBB10300324&Culture=en-GB
V_00042,Everyone Active,Everyone Active,Bodybalance Mon 10:30,Gym / Fitness,Bodybalance™,False,11.1,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,09:30,10:15,Monday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1801CBB10300126&Culture=en-GB
V_00035,Everyone Active,Everyone Active,BodyPump Mon 18:00,Gym / Fitness,Bodypump™,False,11.1,Abbey Leisure Centre,IG11 7LX,Barking and Dagenham,51.534997,0.0760014,17:00,17:45,Monday,2,False,https://book.everyoneactive.com/Connect/landing.aspx?Site=0180&Activities=1801CBP18000324&Culture=en-GB
