survey_year,borough,pct_active,pct_fairly_active,pct_inactive,respondents,weighted_base
2021-22,Barking and Dagenham,56.6,7.5,35.9,519,604.3
2021-22,Barnet,65.5,12.4,22.1,506,1244.6
2021-22,Bexley,63.6,11.9,24.5,487,764.1
2021-22,Brent,59.9,11.3,28.8,512,1010.1
2021-22,Bromley,73.5,7.6,18.9,491,1038.9
2021-22,Camden,71.2,9.5,19.3,503,906.6
2021-22,City of London,36.8,20.1,43.1,243,35.9
2021-22,Croydon,63.0,13.0,24.0,497,1175.4
2021-22,Ealing,66.8,11.5,21.7,485,1040.3
2021-22,Enfield,61.6,9.2,29.2,506,998.9
2021-22,Greenwich,61.6,12.4,26.0,496,866.3
2021-22,Hackney,70.9,9.8,19.3,513,873.4
2021-22,Hammersmith and Fulham,73.8,7.0,19.2,533,586.5
2021-22,Haringey,68.0,11.8,20.2,490,814.2
2021-22,Harrow,62.5,9.4,28.1,518,785.0
2021-22,Havering,62.0,10.6,27.3,515,809.0
2021-22,Hillingdon,64.8,8.6,26.5,485,932.9
2021-22,Hounslow,61.1,7.6,31.3,496,811.3
2021-22,Islington,71.3,11.0,17.7,515,806.7
2021-22,Kensington and Chelsea,63.5,12.9,23.6,512,508.4
2021-22,Kingston upon Thames,74.5,11.1,14.5,491,562.7
2021-22,Lambeth,69.4,9.0,21.6,501,1027.9
2021-22,Lewisham,71.8,11.2,17.0,517,936.0
2021-22,Merton,66.4,8.6,25.0,497,625.6
2021-22,Newham,63.1,10.7,26.3,501,1056.1
2021-22,Redbridge,63.2,11.5,25.3,498,924.3
2021-22,Richmond upon Thames,74.0,8.4,17.6,477,612.2
2021-22,Southwark,66.9,9.9,23.2,521,1001.0
2021-22,Sutton,62.5,10.3,27.2,521,625.3
2021-22,Tower Hamlets,67.2,11.7,21.2,540,1023.7
2021-22,Waltham Forest,65.5,10.6,23.9,498,834.5
2021-22,Wandsworth,74.3,10.5,15.2,485,1051.7
2021-22,Westminster,71.1,8.4,20.5,513,883.5
