Respondent_Serial,term,halfterm,wt_gross,xSCHYR_5_2,xcluster,xstrata,xsurvey_year,Region_name,CSPNC,CSP_name,CSPNC2019,CSP_name2019,CountyCounc_2021,CountyCounc_2023,LDP_combined,LDP_proxy,STP_NC,Overall,Birthmonth_A,age_11,SCHYR_A,SCHYR_5_2,SEX_A,Urbanrural6,urbanrural2,IMDDECILE,IMD10_GR3,IMD_QUINTILE,IDACI_DECILE,IDACI10_GR3,IDACI_QUINTILE,CommNeed10,CommNeed10_GR3,Absence_Overall_GR4,Absence_Persistent_GR6,Daily_mile,ESL_GR10,ESL_GR5,Exclusions_Fixed_GR5,Exclusions_Permanent_GR4,FSM_elig_PC_GR6,FSM_take_PC_GR6,GypEth_GR5,Meetstandards_GR10,Meetstandards_GR4,ofstedrating,PrimaryCount_GR5,Progress8_GR,PupilCount_GR18,PupilTeacherRatio_GR5,Schoolestab,schoolreligion2,schoolreligion4,schoolreligion6,schoolselect2,Schoolsex2,Schoolsex3,SecondaryCount_GR5,PLLIKESP_A,PLLIKESP_A_gr,PLLIKESP_A_gr2,PLLIKEAC2_A,PLLIKEAC2_A_gr,PLLIKEAC2_A_gr2,PLEASY_A,PLEASY_A_gr2,SWIMLK_A,SWIMLK_A_gr2,SWIMLV_A_gr2,WELLHP4_A,TRAVEL_A1,TRAVEL_A2,TRAVEL_A3,TRAVEL_A4,TRAVEL_A5,TRAVEL_A6,WEEKSP1_A01,WEEKSP1_A02,WEEKSP1_A03,WEEKSP1_A04,WEEKSP1_A05,WEEKSP1_A06,WEEKSP1_A07,WEEKSP1_A08,WEEKSP1_A09,WEEKSP1_A12,WEEKAC1_A01,WEEKAC1_A02,WEEKAC1_A03,WEEKAC1_A04,WEEKAC1_A05,WEEKAC1_A06,WEEKAC1_A07,WEEKAC1_A08,WEEKAC1_A09,WEEKAC1_A10,WEEKAC1_A11,WEEKAC1_A12
1018376,2,4,23.4850585910948,1,367920,17135,6,5,9,9,9,9,3,-96,0,0,9,1,2,7,2,1,1,3,1,2,1,1,1,1,1, , ,4,5,1,1,1,-1,-1,5,4,1,5,2,-1,2,-1,2,-1,1,1,1,1,1,1,1,1,5,-99,-99,5,-99,-99,3,99,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,-92,0,0
1027960,3,6,89.2028926792266,1,360859,10235,6,9,35,35,47,47,-96,-96,0,0,36,1,2,7,2,1,2,2,1,3,1,2,2,1,1,1,1,4,6,1,1,1,1,1,5,3,1,10,4,2,3,-1,3,3,1,2,4,6,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,-92,0,0
1031899,3,6,89.2028926792266,1,360859,10235,6,9,35,35,47,47,-96,-96,0,0,36,1,3,7,2,1,2,2,1,3,1,2,2,1,1,1,1,4,6,1,1,1,1,1,5,3,1,10,4,2,3,-1,3,3,1,2,4,6,1,1,1,1,5,-99,-99,5,-99,-99,2,2,1,1,1,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,-92,1,0
1031900,3,6,89.2028926792266,1,360859,10235,6,9,35,35,47,47,-96,-96,0,0,36,1,2,7,2,1,2,2,1,3,1,2,2,1,1,1,1,4,6,1,1,1,1,1,5,3,1,10,4,2,3,-1,3,3,1,2,4,6,1,1,1,1,1,1,1,1,1,1,3,99,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-92,0,0
1031901,3,6,89.2028926792266,1,360859,10235,6,9,35,35,47,47,-96,-96,0,0,36,1,3,7,2,1,2,2,1,3,1,2,2,1,1,1,1,4,6,1,1,1,1,1,5,3,1,10,4,2,3,-1,3,3,1,2,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-92,0,0
1031902,3,6,89.2028926792266,1,360859,10235,6,9,35,35,47,47,-96,-96,0,0,36,1,1,7,2,1,2,2,1,3,1,2,2,1,1,1,1,4,6,1,1,1,1,1,5,3,1,10,4,2,3,-1,3,3,1,2,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,-92,1,0
1031903,3,6,86.0097666826659,1,360859,10235,6,9,35,35,47,47,-96,-96,0,0,36,1,4,6,2,1,1,2,1,3,1,2,2,1,1,1,1,4,6,1,1,1,1,1,5,3,1,10,4,2,3,-1,3,3,1,2,4,6,1,1,1,1,1,1,1,1,1,1,1,1,5,99,99,2,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,-92,1,0
1031904,3,6,86.0097666826659,1,360859,10235,6,9,35,35,47,47,-96,-96,0,0,36,1,3,6,2,1,1,2,1,3,1,2,2,1,1,1,1,4,6,1,1,1,1,1,5,3,1,10,4,2,3,-1,3,3,1,2,4,6,1,1,1,1,4,2,2,1,1,1,2,2,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-92,0,0
1031905,3,6,86.0097666826659,1,360859,10235,6,9,35,35,47,47,-96,-96,0,0,36,1,3,7,2,1,1,2,1,3,1,2,2,1,1,1,1,4,6,1,1,1,1,1,5,3,1,10,4,2,3,-1,3,3,1,2,4,6,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-92,0,0
1031906,3,6,89.2028926792266,1,360859,10235,6,9,35,35,47,47,-96,-96,0,0,36,1,1,7,2,1,2,2,1,3,1,2,2,1,1,1,1,4,6,1,1,1,1,1,5,3,1,10,4,2,3,-1,3,3,1,2,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,-92,1,0
1031907,3,6,86.0097666826659,1,360859,10235,6,9,35,35,47,47,-96,-96,0,0,36,1,3,7,2,1,1,2,1,3,1,2,2,1,1,1,1,4,6,1,1,1,1,1,5,3,1,10,4,2,3,-1,3,3,1,2,4,6,1,1,1,1,1,1,1,2,1,2,2,2,5,99,99,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-92,0,0
