survey_year,borough,demographic_group,category,pct_active,pct_fairly_active,pct_inactive,respondents,weighted_base,suppress
2022-23,London,Age9,16-24,69.7,8.8,21.5,1413,3554.5,False
2022-23,London,Age9,25-34,72.0,9.1,18.9,2859,5886.6,False
2022-23,London,Age9,35-44,67.7,9.3,22.9,3466,5367.0,False
2022-23,London,Age9,45-54,65.8,11.0,23.2,2826,4213.2,False
2022-23,London,Age9,55-64,64.3,9.9,25.8,2663,3352.5,False
2022-23,London,Age9,65-74,64.6,10.3,25.1,2045,2289.2,False
2022-23,London,Age9,75-84,51.9,12.5,35.6,1082,1478.6,False
2022-23,London,Age9,85+,32.9,11.4,55.8,258,360.3,False
2022-23,Barking and Dagenham,Age9,16-24,59.6,8.0,32.4,70,122.8,False
2022-23,Barking and Dagenham,Age9,25-34,54.4,13.4,32.3,76,111.5,False
2022-23,Barking and Dagenham,Age9,35-44,54.3,5.6,40.1,117,134.0,False
2022-23,Barking and Dagenham,Age9,45-54,53.9,8.9,37.2,94,114.6,False
2022-23,Barking and Dagenham,Age9,55-64,35.6,19.7,44.7,65,62.1,False
2022-23,Barking and Dagenham,Age9,65-74,43.1,7.5,49.4,53,33.2,False
2022-23,Barking and Dagenham,Age9,75-84,32.8,14.3,52.9,21,16.2,True
2022-23,Barking and Dagenham,Age9,85+,100.0,0.0,0.0,1,1.0,True
2022-23,Barnet,Age9,16-24,73.9,7.5,18.6,40,147.0,False
2022-23,Barnet,Age9,25-34,83.8,4.0,12.1,52,175.5,False
2022-23,Barnet,Age9,35-44,87.7,2.3,10.0,93,209.1,False
2022-23,Barnet,Age9,45-54,72.1,13.8,14.2,84,226.3,False
2022-23,Barnet,Age9,55-64,68.0,9.6,22.4,91,169.4,False
2022-23,Barnet,Age9,65-74,63.7,19.9,16.4,80,140.1,False
2022-23,Barnet,Age9,75-84,57.3,6.0,36.7,33,74.1,False
2022-23,Barnet,Age9,85+,92.5,0.0,7.5,11,23.1,True
2022-23,Bexley,Age9,16-24,79.2,0.8,20.0,44,119.6,False
2022-23,Bexley,Age9,25-34,74.6,8.3,17.1,56,107.4,False
2022-23,Bexley,Age9,35-44,69.5,10.2,20.3,102,152.4,False
2022-23,Bexley,Age9,45-54,54.1,17.6,28.2,80,116.2,False
2022-23,Bexley,Age9,55-64,64.2,7.4,28.4,77,90.5,False
2022-23,Bexley,Age9,65-74,54.1,8.5,37.4,87,81.2,False
2022-23,Bexley,Age9,75-84,33.8,15.5,50.7,32,47.5,False
2022-23,Bexley,Age9,85+,44.7,27.5,27.8,10,9.2,True
2022-23,Brent,Age9,16-24,71.0,13.2,15.9,51,165.1,False
2022-23,Brent,Age9,25-34,55.7,17.4,26.9,75,179.5,False
2022-23,Brent,Age9,35-44,64.4,8.7,26.9,120,221.4,False
2022-23,Brent,Age9,45-54,56.6,12.0,31.3,77,161.9,False
2022-23,Brent,Age9,55-64,70.4,9.6,20.0,84,143.1,False
2022-23,Brent,Age9,65-74,53.6,20.9,25.5,62,80.1,False
2022-23,Brent,Age9,75-84,35.8,12.1,52.1,17,35.0,True
2022-23,Brent,Age9,85+,42.9,7.1,50.0,17,28.4,True
2022-23,Bromley,Age9,16-24,81.2,6.4,12.4,28,89.9,True
2022-23,Bromley,Age9,25-34,65.7,14.9,19.4,47,146.0,False
2022-23,Bromley,Age9,35-44,76.0,7.9,16.1,89,204.1,False
2022-23,Bromley,Age9,45-54,62.9,15.3,21.7,94,181.8,False
2022-23,Bromley,Age9,55-64,69.1,5.0,25.8,106,168.4,False
2022-23,Bromley,Age9,65-74,63.6,11.8,24.6,76,111.7,False
2022-23,Bromley,Age9,75-84,52.1,12.1,35.8,53,97.7,False
2022-23,Bromley,Age9,85+,18.4,0.0,81.6,4,4.7,True
2022-23,Camden,Age9,16-24,81.9,9.0,9.1,46,85.6,False
2022-23,Camden,Age9,25-34,74.8,10.3,14.9,86,156.4,False
2022-23,Camden,Age9,35-44,73.4,5.5,21.1,98,134.6,False
2022-23,Camden,Age9,45-54,71.7,12.1,16.2,96,106.5,False
2022-23,Camden,Age9,55-64,70.5,7.3,22.2,81,83.8,False
2022-23,Camden,Age9,65-74,75.0,10.5,14.5,52,46.5,False
2022-23,Camden,Age9,75-84,79.9,3.6,16.5,38,44.7,False
2022-23,Camden,Age9,85+,47.4,15.6,37.0,11,17.8,True
2022-23,City of London,Age9,16-24,100.0,0.0,0.0,6,1.3,True
2022-23,City of London,Age9,25-34,70.3,12.9,16.7,43,7.9,False
2022-23,City of London,Age9,35-44,42.5,27.0,30.6,49,6.4,False
2022-23,City of London,Age9,45-54,27.4,22.7,49.9,40,4.8,False
2022-23,City of London,Age9,55-64,38.3,17.0,44.6,37,3.3,False
2022-23,City of London,Age9,65-74,50.6,0.0,49.4,34,3.6,False
2022-23,City of London,Age9,75-84,39.7,5.3,55.1,24,3.6,True
2022-23,Croydon,Age9,16-24,74.1,1.9,24.0,38,149.9,False
2022-23,Croydon,Age9,25-34,69.3,9.2,21.5,81,249.8,False
2022-23,Croydon,Age9,35-44,64.2,14.6,21.2,111,222.9,False
2022-23,Croydon,Age9,45-54,74.5,14.2,11.2,89,174.6,False
2022-23,Croydon,Age9,55-64,53.3,13.0,33.7,79,146.2,False
2022-23,Croydon,Age9,65-74,66.0,7.8,26.2,72,108.5,False
2022-23,Croydon,Age9,75-84,56.6,16.1,27.3,42,89.7,False
2022-23,Croydon,Age9,85+,16.5,0.0,83.5,7,18.5,True
2022-23,Ealing,Age9,16-24,72.3,3.0,24.7,64,214.8,False
2022-23,Ealing,Age9,25-34,64.5,3.3,32.3,58,161.7,False
2022-23,Ealing,Age9,35-44,68.8,8.2,23.0,106,204.2,False
2022-23,Ealing,Age9,45-54,72.7,8.7,18.5,100,208.7,False
2022-23,Ealing,Age9,55-64,68.2,4.5,27.3,84,134.0,False
2022-23,Ealing,Age9,65-74,72.1,7.0,20.9,64,85.3,False
2022-23,Ealing,Age9,75-84,68.5,12.8,18.7,32,51.5,False
2022-23,Ealing,Age9,85+,25.6,22.4,52.0,11,19.8,True
2022-23,Enfield,Age9,16-24,60.4,14.6,25.0,39,134.8,False
2022-23,Enfield,Age9,25-34,64.0,11.7,24.4,51,123.4,False
2022-23,Enfield,Age9,35-44,54.7,5.7,39.6,97,202.4,False
2022-23,Enfield,Age9,45-54,71.7,5.5,22.8,80,169.2,False
2022-23,Enfield,Age9,55-64,65.4,13.1,21.5,96,138.2,False
2022-23,Enfield,Age9,65-74,54.4,4.4,41.2,69,92.3,False
2022-23,Enfield,Age9,75-84,54.5,14.9,30.6,44,81.4,False
2022-23,Enfield,Age9,85+,9.0,11.3,79.7,18,25.6,True
2022-23,Greenwich,Age9,16-24,51.6,12.3,36.2,79,103.9,False
2022-23,Greenwich,Age9,25-34,68.2,14.3,17.5,187,218.8,False
2022-23,Greenwich,Age9,35-44,63.9,10.0,26.1,247,204.2,False
2022-23,Greenwich,Age9,45-54,66.1,7.2,26.7,170,145.1,False
2022-23,Greenwich,Age9,55-64,57.0,12.7,30.3,133,84.7,False
2022-23,Greenwich,Age9,65-74,69.8,9.4,20.8,99,59.6,False
2022-23,Greenwich,Age9,75-84,35.1,23.2,41.7,60,45.0,False
2022-23,Greenwich,Age9,85+,38.1,14.3,47.7,8,4.8,True
2022-23,Hackney,Age9,16-24,66.8,11.2,22.0,39,105.5,False
2022-23,Hackney,Age9,25-34,82.2,6.1,11.7,103,200.8,False
2022-23,Hackney,Age9,35-44,65.1,8.0,26.9,104,167.5,False
