survey_year,borough,pct_active,pct_fairly_active,pct_inactive,respondents,weighted_base
2018-19,Barking and Dagenham,50.1,10.3,39.6,494,621.7
2018-19,Barnet,60.7,15.1,24.2,471,1210.7
2018-19,Bexley,63.9,10.6,25.5,489,798.6
2018-19,Brent,57.6,12.1,30.4,502,1056.7
2018-19,Bromley,70.6,9.8,19.6,487,1068.9
2018-19,Camden,69.6,13.7,16.7,491,892.5
2018-19,City of London,82.6,6.2,11.2,259,30.5
2018-19,Croydon,62.8,13.7,23.6,487,1224.8
2018-19,Ealing,59.1,15.7,25.2,490,1071.9
2018-19,Enfield,68.5,12.6,18.8,492,1030.4
2018-19,Greenwich,63.7,14.0,22.3,486,890.9
2018-19,Hackney,67.6,10.2,22.3,497,890.3
2018-19,Hammersmith and Fulham,73.1,8.9,18.1,506,606.9
2018-19,Haringey,68.9,11.4,19.8,495,860.3
2018-19,Harrow,63.9,12.1,24.0,482,781.0
2018-19,Havering,64.9,11.9,23.2,507,847.2
2018-19,Hillingdon,60.1,15.3,24.6,506,929.3
2018-19,Hounslow,64.4,11.7,23.9,523,843.8
2018-19,Islington,75.3,8.1,16.6,491,794.8
2018-19,Kensington and Chelsea,69.6,9.6,20.8,481,529.8
2018-19,Kingston upon Thames,71.3,13.1,15.7,502,559.1
2018-19,Lambeth,72.9,8.5,18.6,499,1065.8
2018-19,Lewisham,72.2,9.7,18.1,512,976.3
2018-19,Merton,68.6,12.0,19.4,511,648.3
2018-19,Newham,58.6,12.0,29.4,481,1083.5
2018-19,Redbridge,60.3,14.9,24.8,486,938.8
2018-19,Richmond upon Thames,75.1,9.6,15.3,506,639.0
2018-19,Southwark,70.1,7.1,22.8,503,1035.1
2018-19,Sutton,71.3,10.9,17.8,534,655.7
2018-19,Tower Hamlets,67.9,10.3,21.8,510,993.7
2018-19,Waltham Forest,69.4,10.3,20.2,472,863.2
2018-19,Wandsworth,79.6,7.8,12.6,495,1097.5
2018-19,Westminster,71.1,8.5,20.4,501,853.1
2019-20,Barking and Dagenham,55.8,12.9,31.3,488,610.7
2019-20,Barnet,62.9,12.3,24.7,493,1211.3
2019-20,Bexley,58.7,12.6,28.7,495,767.8
2019-20,Brent,59.9,11.3,28.8,532,1010.3
2019-20,Bromley,73.8,8.8,17.3,488,1048.7
2019-20,Camden,65.4,10.7,23.9,492,853.1
2019-20,City of London,62.2,10.5,27.3,273,29.2
2019-20,Croydon,62.0,9.6,28.3,486,1182.3
2019-20,Ealing,62.3,12.6,25.1,507,1031.0
2019-20,Enfield,61.7,11.5,26.8,493,1016.4
2019-20,Greenwich,66.7,9.0,24.4,503,866.8
2019-20,Hackney,73.1,10.2,16.7,533,872.3
2019-20,Hammersmith and Fulham,75.1,8.7,16.2,497,604.2
2019-20,Haringey,68.9,7.3,23.8,502,857.1
2019-20,Harrow,57.6,12.7,29.7,499,776.3
2019-20,Havering,58.0,11.9,30.1,478,814.8
2019-20,Hillingdon,62.6,7.8,29.6,490,924.5
2019-20,Hounslow,60.5,13.2,26.3,503,824.6
2019-20,Islington,73.6,8.3,18.1,517,799.8
2019-20,Kensington and Chelsea,72.0,11.7,16.3,503,510.1
2019-20,Kingston upon Thames,71.4,10.7,17.8,502,549.9
2019-20,Lambeth,74.7,11.2,14.1,486,1062.7
2019-20,Lewisham,68.9,13.4,17.7,539,934.3
2019-20,Merton,66.0,13.6,20.4,520,643.1
2019-20,Newham,53.2,12.3,34.5,508,1060.7
2019-20,Redbridge,54.4,14.0,31.7,523,933.1
2019-20,Richmond upon Thames,73.6,8.2,18.1,517,620.4
2019-20,Southwark,70.7,8.4,20.9,528,1006.8
2019-20,Sutton,67.3,8.7,24.0,486,628.4
2019-20,Tower Hamlets,62.8,8.1,29.1,504,988.8
2019-20,Waltham Forest,64.8,11.4,23.8,505,852.4
2019-20,Wandsworth,71.6,9.8,18.6,498,1067.7
2019-20,Westminster,62.0,11.7,26.4,476,836.1
