geography_level,geography_name,survey_year,demographic_variable,demographic_group,pct_active,pct_fairly_active,pct_inactive,sample_size
London-wide,London-wide,2018-19,Age9,16-24,72.8,10.5,16.8,1287
London-wide,London-wide,2018-19,Age9,25-34,70.3,10.2,19.5,2999
London-wide,London-wide,2018-19,Age9,35-44,67.6,12.0,20.4,3382
London-wide,London-wide,2018-19,Age9,45-54,67.3,11.5,21.2,2800
London-wide,London-wide,2018-19,Age9,55-64,64.4,12.0,23.6,2409
London-wide,London-wide,2018-19,Age9,65-74,65.0,11.8,23.2,1989
London-wide,London-wide,2018-19,Age9,75-84,53.2,12.1,34.7,876
London-wide,London-wide,2018-19,Age9,85+,25.2,17.2,57.5,226
borough,Barking and Dagenham,2018-19,Age9,16-24,71.6,10.4,18.0,51
borough,Barking and Dagenham,2018-19,Age9,25-34,44.4,11.5,44.1,100
borough,Barking and Dagenham,2018-19,Age9,35-44,51.4,9.6,39.0,113
borough,Barking and Dagenham,2018-19,Age9,45-54,42.4,9.2,48.4,90
borough,Barking and Dagenham,2018-19,Age9,55-64,53.7,8.7,37.6,58
borough,Barking and Dagenham,2018-19,Age9,65-74,46.7,14.2,39.1,48
borough,Barnet,2018-19,Age9,16-24,75.0,0.0,25.0,36
borough,Barnet,2018-19,Age9,25-34,67.3,15.3,17.4,58
borough,Barnet,2018-19,Age9,35-44,60.1,20.4,19.5,94
borough,Barnet,2018-19,Age9,45-54,58.5,17.7,23.7,84
borough,Barnet,2018-19,Age9,55-64,48.7,18.9,32.3,79
borough,Barnet,2018-19,Age9,65-74,61.3,13.1,25.6,75
borough,Barnet,2018-19,Age9,75-84,65.0,8.7,26.4,31
borough,Bexley,2018-19,Age9,16-24,67.9,10.1,22.0,35
borough,Bexley,2018-19,Age9,25-34,61.9,5.5,32.6,65
borough,Bexley,2018-19,Age9,35-44,69.5,10.2,20.2,101
borough,Bexley,2018-19,Age9,45-54,66.0,14.1,20.0,91
borough,Bexley,2018-19,Age9,55-64,60.1,13.6,26.3,82
borough,Bexley,2018-19,Age9,65-74,58.5,9.3,32.3,83
borough,Brent,2018-19,Age9,16-24,67.6,12.3,20.1,50
borough,Brent,2018-19,Age9,25-34,58.0,11.8,30.3,88
borough,Brent,2018-19,Age9,35-44,54.1,15.3,30.6,111
borough,Brent,2018-19,Age9,45-54,58.9,10.1,31.0,73
borough,Brent,2018-19,Age9,55-64,52.0,15.7,32.3,69
borough,Brent,2018-19,Age9,65-74,69.7,7.6,22.7,71
borough,Bromley,2018-19,Age9,25-34,66.6,19.0,14.4,55
borough,Bromley,2018-19,Age9,35-44,65.9,7.4,26.6,90
borough,Bromley,2018-19,Age9,45-54,82.4,6.9,10.7,93
borough,Bromley,2018-19,Age9,55-64,76.5,4.6,18.9,84
borough,Bromley,2018-19,Age9,65-74,62.4,10.1,27.5,99
borough,Bromley,2018-19,Age9,75-84,55.7,11.0,33.3,37
