borough,class,demand_score,inactive,sessions,equity_gap,top_venue_share,avg_price,price_sample_size,price_reliable,pct_better,pct_free,blended_avg_price,price_note
Barking and Dagenham,well-served (moderate need),51.5625,37.65326753550181,2535.0,3.066071856913382,56.44970414201184,20.0,1650.0,True,0.0,0.9009009009009009,15.159710494571772,
Barnet,average,50.0,25.524509108107168,639.0,9.25846360208466,87.01095461658842,6.25,290.0,True,23.05555555555556,19.444444444444446,6.669027777777777,
Bexley,adequately served,39.0625,27.85570297181126,475.0,10.186206033675267,10.947368421052632,10.0,3.0,False,0.631578947368421,99.36842105263159,0.06736842105263158,
Brent,under-monitored,65.625,31.18117663373343,2587.0,2.261459930881003,43.10011596443758,8.3,1073.0,True,0.0,34.332925336597306,8.523109296482412,
Bromley,genuine desert,65.625,22.184713591338976,105.0,8.091885363887016,68.57142857142857,10.0,33.0,True,31.428571428571427,68.57142857142857,2.7235576923076925,
Camden,"low need, low supply",31.25,18.43863292929546,159.0,3.5237550388816814,31.446540880503143,13.0,92.0,True,57.86163522012578,42.138364779874216,6.998679245283019,
Croydon,blind spot risk,48.4375,27.126882889295537,65.0,3.804286327100204,43.07692307692308,9.25,64.0,True,100.0,1.5384615384615385,9.076153846153847,
Ealing,well-served,42.1875,27.293568628626424,3427.0,1.7501065594365173,42.456959439743216,8.8,2001.0,True,0.0,0.3982080637132902,11.897128916281458,
Enfield,blind spot,48.4375,28.378248008057074,77.0,6.656572401853328,42.85714285714285,12.0,75.0,True,100.0,2.5974025974025974,9.695205479452055,
Greenwich,blind spot risk,54.6875,25.176495818872223,137.0,10.641354909066816,32.846715328467155,11.65,113.0,True,82.48175182481752,17.51824817518248,11.062962962962963,
Hackney,emerging desert,56.25,21.04941389055713,328.0,1.375332811288413,24.695121951219512,11.1,216.0,True,66.76829268292683,34.146341463414636,8.593558282208589,
Hammersmith and Fulham,genuine desert,59.375,19.20948419850092,106.0,6.221842720526489,38.67924528301887,11.55,106.0,True,100.0,0.0,10.962264150943396,
Haringey,emerging desert,64.0625,23.195860594384023,251.0,4.664043097578865,41.43426294820717,60.0,12.0,False,0.0,7.6923076923076925,57.50307692307692,
Harrow,average,53.125,29.9306825159877,1571.0,0.2573440149425998,74.1565881604074,19.9,1022.0,True,0.0,2.666666666666667,14.620658914728681,
Havering,well-served,45.3125,29.30045304369697,5696.0,4.95885265042272,27.49297752808989,8.55,3289.0,True,0.0,1.171875,13.114867418469977,
Hillingdon,emerging desert,57.8125,30.251572378482432,231.0,3.832394275589909,33.33333333333333,6.1,30.0,True,12.987012987012983,87.01298701298701,0.8368421052631579,
Hounslow,adequately served,46.875,30.222648794249487,646.0,5.598114259582424,23.9938080495356,6.55,646.0,True,1.547987616099071,0.0,8.370391517128875,
Islington,"low need, low supply",25.0,17.80787807338907,163.0,1.1375422835387958,25.153374233128837,13.0,163.0,True,100.0,0.0,13.970061728395063,
Kensington and Chelsea,average,53.125,21.12033602949941,1001.0,8.070730975770068,49.25074925074925,10.5,547.0,True,14.465408805031446,13.9937106918239,20.36260273972603,
Kingston upon Thames,well-served,20.3125,20.200689429169607,4305.0,19.489120091004587,47.13124274099884,16.8,101.0,True,0.0,80.18453427065026,0.907578125,
Lambeth,blind spot risk,53.125,18.716521654868977,166.0,4.174465122905808,46.98795180722892,10.0,75.0,True,45.18072289156627,54.81927710843374,4.510067114093959,
Lewisham,"low need, low supply",34.375,21.2253147900762,98.0,4.338478767637888,50.0,7.6,97.0,True,100.0,1.0204081632653061,8.048421052631578,
Merton,adequately served,48.4375,22.11411528699184,224.0,5.985880239894971,43.75,14.95,124.0,True,55.80357142857143,44.642857142857146,7.333636363636363,
Newham,under-monitored,79.6875,32.453472046672765,3196.0,1.845264320811644,80.35043804755945,10.5,1586.0,True,9.492273730684326,12.472406181015453,10.368878453038676,
Redbridge,blind spot,79.6875,30.27178810648796,0.0,6.457477465637943,,,,,,,,zero OpenActive sessions — no price data exists
Richmond upon Thames,blind spot risk,51.5625,17.252301936571634,59.0,11.653002341108298,91.52542372881356,,,,0.0,100.0,0.0,100% free supply — no paid sessions to average
Southwark,well-served (moderate need),51.5625,20.43323489440168,5051.0,3.891040613370823,19.87725202930113,9.7,2360.0,True,0.0,19.618528610354225,7.0496617697301,
Sutton,under-monitored,62.5,25.53678517661457,2857.0,9.247247803132089,44.907245362268114,13.75,1673.0,True,0.846979107848673,5.533596837944664,15.315420506912442,
Tower Hamlets,emerging desert,60.9375,25.06720612216257,995.0,2.111478850676712,28.74371859296482,15.0,182.0,True,0.0,25.71428571428571,9.387107438016528,
Waltham Forest,under-monitored,54.6875,26.357970859551177,5825.0,4.073766659772304,33.88841201716738,12.05,367.0,True,74.0,18.444444444444443,13.437973273942093,
Wandsworth,well-served,48.4375,16.357945529277874,12838.0,11.608535498021771,24.879264682972423,19.2,600.0,True,0.1096834848010028,65.98245064243184,3.549489795918367,
Westminster,well-served,46.875,22.115310039960647,3914.0,4.738798677457154,30.378129790495656,5.5,1953.0,True,0.0,10.16559337626495,9.936449928808733,
