borough,ethnic_group,group_inactive,borough_overall_inactive,gap,total_respondents,n_years_pooled,reliable
Wandsworth,South Asian,40.759699918206834,16.357945529277874,24.40175438892896,80.0,2,False
Greenwich,Mixed,49.1443351765876,25.176495818872223,23.96783935771538,37.0,1,False
Haringey,Black,40.45906196222574,23.195860594384023,17.263201367841717,361.0,7,True
Southwark,Black,36.94744723218701,20.43323489440168,16.51421233778533,373.0,7,True
Lambeth,Black,34.65586577977895,18.716521654868977,15.939344124909972,378.0,7,True
Wandsworth,Black,32.21208346137274,16.357945529277874,15.854137932094869,31.0,1,False
Hillingdon,Black,46.047429715867885,30.251572378482432,15.795857337385453,31.0,1,False
Haringey,Other ethnic group,38.486728451128286,23.195860594384023,15.290867856744264,35.0,1,False
Camden,South Asian,33.605854163196774,18.43863292929546,15.167221233901316,284.0,7,True
Hackney,South Asian,36.09115370174716,21.04941389055713,15.04173981119003,186.0,5,False
Havering,South Asian,43.98250020384331,29.30045304369697,14.68204716014634,178.0,4,False
Hackney,Black,34.72329652170388,21.04941389055713,13.67388263114675,350.0,7,True
Westminster,Other ethnic group,35.22731234970456,22.115310039960647,13.112002309743914,34.0,1,False
Tower Hamlets,South Asian,36.936900213709166,25.06720612216257,11.869694091546595,782.0,7,True
Lambeth,South Asian,29.448655225165357,18.716521654868977,10.73213357029638,42.0,1,False
Waltham Forest,South Asian,36.94807915892942,26.357970859551177,10.59010829937824,399.0,7,True
Richmond upon Thames,South Asian,25.588204907362748,17.252301936571634,8.335902970791114,95.0,3,False
Merton,South Asian,30.07170041751251,22.11411528699184,7.95758513052067,380.0,7,True
Kensington and Chelsea,South Asian,29.021865368632152,21.12033602949941,7.901529339132743,66.0,2,False
Hillingdon,South Asian,37.279386482701696,30.251572378482432,7.027814104219264,806.0,7,True
Ealing,Black,34.245818690935074,27.293568628626424,6.95225006230865,97.0,3,False
Kingston upon Thames,South Asian,26.578358582739526,20.200689429169607,6.377669153569919,259.0,6,True
Bexley,Black,34.17898187803584,27.85570297181126,6.32327890622458,178.0,5,False
Islington,Black,23.66167876778429,17.80787807338907,5.853800694395222,31.0,1,False
Sutton,South Asian,31.173222033532586,25.536785176614572,5.636436856918014,394.0,7,True
Merton,Black,27.717837740970126,22.11411528699184,5.6037224539782855,63.0,2,False
Westminster,Chinese,27.462339871665726,22.115310039960647,5.347029831705079,30.0,1,False
Greenwich,South Asian,30.45158003533124,25.176495818872223,5.2750842164590175,377.0,7,True
Greenwich,Black,29.99204167948297,25.176495818872223,4.815545860610747,413.0,7,True
Croydon,South Asian,31.910333252889025,27.126882889295537,4.783450363593488,429.0,7,True
Bexley,South Asian,32.4684352285358,27.85570297181126,4.6127322567245415,251.0,6,True
Redbridge,White Other,34.370034469076664,30.27178810648796,4.098246362588704,354.0,7,True
Hounslow,South Asian,34.151384686639084,30.222648794249487,3.9287358923895965,953.0,7,True
Newham,South Asian,36.20224725947322,32.453472046672765,3.748775212800453,1049.0,7,True
Lewisham,Black,24.808176150046002,21.2253147900762,3.582861359969801,422.0,7,True
Newham,Black,36.00570715467939,32.453472046672765,3.5522351080066272,399.0,7,True
Ealing,South Asian,30.1510123679417,27.293568628626424,2.8574437393152756,740.0,7,True
Lewisham,South Asian,24.003016064069747,21.2253147900762,2.7777012739935465,139.0,4,False
Haringey,South Asian,25.82962592567763,23.195860594384023,2.6337653312936062,184.0,5,False
Barking and Dagenham,South Asian,40.16309433055344,37.65326753550181,2.50982679505163,841.0,7,True
Havering,White Other,31.728671253752697,29.30045304369697,2.4282182100557286,118.0,3,False
Enfield,White Other,30.796640831790445,28.378248008057074,2.4183928237333703,542.0,7,True
Lambeth,White Other,20.90654766581987,18.716521654868977,2.1900260109508913,692.0,7,True
Brent,South Asian,33.33175463956191,31.18117663373343,2.1505780058284785,1117.0,7,True
Barking and Dagenham,White British,39.76452761917521,37.65326753550181,2.1112600836734003,1542.0,7,True
Islington,White Other,19.656874970390078,17.80787807338907,1.8489968970010082,797.0,7,True
Westminster,South Asian,23.87559371884885,22.115310039960647,1.7602836788882037,295.0,7,True
Barnet,White Other,27.16059424320906,25.524509108107168,1.6360851351018937,709.0,7,True
Barnet,South Asian,27.143623942291075,25.524509108107168,1.6191148341839074,565.0,7,True
Haringey,Mixed,24.724584035126917,23.195860594384023,1.528723440742894,30.0,1,False
Waltham Forest,Black,27.62134079075064,26.357970859551177,1.2633699311994633,274.0,7,True
Brent,White Other,32.385937413672956,31.18117663373343,1.2047607799395266,601.0,7,True
Redbridge,South Asian,31.449146487525493,30.27178810648796,1.177358381037532,1293.0,7,True
Kingston upon Thames,White Other,21.370793781861273,20.200689429169607,1.1701043526916663,476.0,7,True
Harrow,White Other,31.002085901845792,29.9306825159877,1.0714033858580905,319.0,7,True
Enfield,Other ethnic group,29.352575216636268,28.378248008057074,0.9743272085791936,43.0,1,False
Redbridge,Black,30.749416270636118,30.27178810648796,0.47762816414815745,114.0,3,False
Enfield,Black,28.81077549720901,28.378248008057074,0.43252748915193706,373.0,7,True
Brent,Black,31.481175098586537,31.18117663373343,0.29999846485310755,333.0,7,True
Greenwich,Chinese,25.445230517908584,25.176495818872223,0.2687346990363615,41.0,1,False
Bromley,White British,22.38381994121557,22.184713591338976,0.19910634987659392,2590.0,7,True
Sutton,White Other,25.687879083256007,25.536785176614572,0.15109390664143518,317.0,7,True
Wandsworth,White Other,16.390687767218534,16.357945529277874,0.03274223794065989,648.0,7,True
Harrow,South Asian,29.903248763437002,29.9306825159877,-0.027433752550699353,1403.0,7,True
Sutton,White British,25.473420906082147,25.536785176614572,-0.06336427053242488,2321.0,7,True
Camden,Mixed,18.368876773585296,18.43863292929546,-0.06975615571016291,33.0,1,False
Enfield,South Asian,28.014142906950504,28.378248008057074,-0.3641051011065706,373.0,7,True
Havering,White British,28.78391573933191,29.30045304369697,-0.516537304365059,2561.0,7,True
Croydon,Black,26.60707140308278,27.126882889295537,-0.5198114862127561,348.0,7,True
Bexley,White British,27.004680881274716,27.85570297181126,-0.8510220905365458,2414.0,7,True
Merton,White Other,21.22402501925829,22.11411528699184,-0.8900902677335516,565.0,7,True
Bromley,White Other,21.254053362088076,22.184713591338976,-0.9306602292509005,282.0,7,True
Waltham Forest,White Other,25.239267056007016,26.357970859551177,-1.118703803544161,501.0,7,True
Croydon,White Other,25.845913131075275,27.126882889295537,-1.2809697582202624,380.0,7,True
