borough,inactive,readiness_opportunity,readiness_ability,respondents,sessions,venues,readiness_opportunity_pct,inactive_rank,readiness_opp_rank,demand_score,s_bin,d_bin,class,d_bin_tiebreak,class_tiebreak,s_bin2,d_bin2,class_median,s_bin4,d_bin4,class_quartile,concern,concern_median,concern_quartile,stable,demand_score_shrunk,d_bin_shrunk,note
Barking and Dagenham,37.653267535501804,3.831661336382511,4.090338045661172,2913.0,2535.0,3.0,70.79153340956277,100.0,3.125,51.5625,high,mid,well-served (moderate need),mid,well-served (moderate need),high,low,well-served,mid_high,mid_low,average,low,low,low,True,51.685142160828605,mid,"Flagged for review — supply looks strong, but survey data still shows high inactivity, suggesting a non-supply barrier to access."
Barnet,25.524509108107168,3.9374495806836842,4.092044254949353,2944.0,639.0,6.0,73.4362395170921,56.25,43.75,50.0,mid,mid,average,mid,average,high,low,well-served,mid_high,mid_low,average,low,low,low,True,50.839243785636015,mid,
Bexley,27.85570297181126,3.8443262763859907,4.00535228971459,2464.0,475.0,16.0,71.10815690964976,71.875,6.25,39.0625,mid,low,adequately served,low,adequately served,low,low,"low need, low supply",mid_low,low,adequately served,low,low,low,True,45.489689532155964,low,
Brent,31.18117663373343,3.926899519364163,4.088565386849261,2536.0,2587.0,11.0,73.17248798410407,93.75,37.5,65.625,high,high,under-monitored,high,under-monitored,high,high,under-monitored,mid_high,high,under-monitored,mid,mid,mid,True,58.77794901247869,high,
Bromley,22.184713591338976,4.029239600419999,4.134203826448915,2449.0,105.0,2.0,75.73099001049997,43.75,87.5,65.625,low,high,genuine desert,high,genuine desert,low,high,genuine desert,low,high,genuine desert,high,high,high,True,58.65754609465871,high,
Camden,18.43863292929546,3.9448991934905115,4.099771007700039,2497.0,159.0,7.0,73.62247983726279,12.5,50.0,31.25,low,low,"low need, low supply",low,"low need, low supply",low,low,"low need, low supply",mid_low,low,adequately served,low,low,low,True,41.54215479998478,low,
Croydon,27.126882889295537,3.9071029469099736,4.114872479264536,2494.0,65.0,5.0,72.67757367274935,65.625,31.25,48.4375,low,mid,blind spot risk,mid,blind spot risk,low,low,"low need, low supply",low,mid_low,blind spot risk,mid,low,mid,False,50.134343375728385,mid,
Ealing,27.293568628626424,3.8513096932128086,4.119146947895576,2509.0,3427.0,11.0,71.28274233032022,68.75,15.625,42.1875,high,low,well-served,low,well-served,high,low,well-served,high,low,well-served,low,low,low,True,46.997707798966346,low,
Enfield,28.378248008057074,3.85974386490195,4.057659287578581,2984.0,77.0,6.0,71.49359662254875,75.0,21.875,48.4375,low,mid,blind spot,mid,blind spot risk,low,low,"low need, low supply",low,mid_low,blind spot risk,mid,low,mid,False,49.98268751542617,low,Manually reclassified as blind spot as facilities exist but are underreported due to a known issue with the Better/GLL data feed.
Greenwich,25.176495818872223,3.954611103385151,4.145419449115236,3455.0,137.0,7.0,73.86527758462877,53.125,56.25,54.6875,low,mid,blind spot risk,mid,blind spot risk,low,high,genuine desert,low,mid_high,blind spot risk,mid,high,mid,False,53.48751101088838,high,
Hackney,21.049413890557126,4.02547401883345,4.1918170356435605,2539.0,328.0,8.0,75.63685047083627,28.125,84.375,56.25,mid,high,emerging desert,high,emerging desert,low,high,genuine desert,mid_low,mid_high,average,mid,high,low,False,54.05684055649112,high,
Hammersmith and Fulham,19.209484198500913,4.118644817390523,4.244967796445002,2476.0,106.0,3.0,77.96612043476307,18.75,100.0,59.375,low,high,genuine desert,high,genuine desert,low,high,genuine desert,low,high,genuine desert,high,high,high,True,55.584497799441955,high,
Haringey,23.195860594384023,4.013822373335542,4.231452474650408,3023.0,251.0,8.0,75.34555933338855,46.875,81.25,64.0625,mid,high,emerging desert,high,emerging desert,low,high,genuine desert,mid_low,high,emerging desert,mid,high,mid,False,58.526400761264874,high,
Harrow,29.9306825159877,3.9046285443078554,4.074899642542939,2456.0,1571.0,5.0,72.61571360769639,81.25,25.0,53.125,mid,mid,average,mid,average,high,high,under-monitored,mid_high,mid_high,average,low,mid,low,False,52.47100298785427,mid,
Havering,29.300453043696972,3.8507620086838434,3.9647702635196382,2468.0,5696.0,8.0,71.26905021709608,78.125,12.5,45.3125,high,low,well-served,low,well-served,high,low,well-served,high,low,well-served,low,low,low,True,48.59032201818664,low,
Hillingdon,30.251572378482432,3.9069530912743886,4.100821617369731,2480.0,231.0,7.0,72.67382728185972,87.5,28.125,57.8125,mid,high,emerging desert,high,emerging desert,low,high,genuine desert,mid_low,mid_high,average,mid,high,low,False,54.80919640520719,high,
