venue_name,activity,LAD24NM,provider,n_occurrences,lat,lon
Abbey Leisure Centre,A&c 19-36m Sun 11:30 Tfb,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,A&c 4-19m Sun 12:00 Tfb,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Ad & Ch 4-18m Thu 11:00sm,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Ad & Ch 4-18m Tue 10:00ep,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Ad & Ch 4-18m Tue 11:30ep,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Ad &ch 19-36m Thu 11:30sm,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Ad &ch 19-36m Tue 09:30ep,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Ad &ch 19-36m Tue 11:00ep,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Adult Advance Tue 19:00cb,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Adult Advanced Thu 0930sm,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Adult Beg  Mon 19:30 Aw,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Adult Beg 19:30 Cb,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Adult Beg Mon 19:00 Aw,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Adult Beg Mon 20:00 Aw,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Adult Beg Wed 19:30mk,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Adult Beginner Sun14:45ld,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Adult Beginners 13:00  Fb,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Adult Imp Fri 19:00cb,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Adult Imp Fri 19:30 Vg,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Adult Imp Thu 18:00mc,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Adult Imp Thu 18:30mc,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Adult Imp Tues 18:30 Cb,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Adult Imp Wed 19:00 Mk,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Adult Improv Mon 18:30 Rm,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Adult Improver Sat 1245ld,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Adult Improver Sun Ld,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Aqua Aerobics Thu 12:15,Barking and Dagenham,Everyone Active,2,51.534997,0.0760014
Abbey Leisure Centre,Aqua Aerobics Tue 12:15,Barking and Dagenham,Everyone Active,2,51.534997,0.0760014
Abbey Leisure Centre,Be A Swimmer Fri 20:00cb,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Be Water Conftue 10:30ep,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,BodyAttack Wed 09:30,Barking and Dagenham,Everyone Active,3,51.534997,0.0760014
Abbey Leisure Centre,BodyBalance Thu 19:00,Barking and Dagenham,Everyone Active,2,51.534997,0.0760014
Abbey Leisure Centre,BodyBalance Wed 10:30,Barking and Dagenham,Everyone Active,3,51.534997,0.0760014
Abbey Leisure Centre,BodyCombat Mon 19:00,Barking and Dagenham,Everyone Active,2,51.534997,0.0760014
Abbey Leisure Centre,BodyCombat Wed 18:00,Barking and Dagenham,Everyone Active,2,51.534997,0.0760014
Abbey Leisure Centre,BodyPump Mon 18:00,Barking and Dagenham,Everyone Active,2,51.534997,0.0760014
Abbey Leisure Centre,BodyPump Sat 09:30,Barking and Dagenham,Everyone Active,2,51.534997,0.0760014
Abbey Leisure Centre,BodyPump Sun 09:30,Barking and Dagenham,Everyone Active,2,51.534997,0.0760014
Abbey Leisure Centre,BodyPump Thu 18:00,Barking and Dagenham,Everyone Active,2,51.534997,0.0760014
Abbey Leisure Centre,BodyPump Wed 19:00,Barking and Dagenham,Everyone Active,2,51.534997,0.0760014
Abbey Leisure Centre,Bodyattack Mon 09:30,Barking and Dagenham,Everyone Active,2,51.534997,0.0760014
Abbey Leisure Centre,Bodyattack Sat 11:15,Barking and Dagenham,Everyone Active,2,51.534997,0.0760014
Abbey Leisure Centre,Bodybalance Mon 10:30,Barking and Dagenham,Everyone Active,2,51.534997,0.0760014
Abbey Leisure Centre,Bodypump Tue 09:15,Barking and Dagenham,Everyone Active,2,51.534997,0.0760014
Abbey Leisure Centre,Boxing Fitness Sun 10:30,Barking and Dagenham,Everyone Active,2,51.534997,0.0760014
Abbey Leisure Centre,Boxing Fitness Wed 20:00,Barking and Dagenham,Everyone Active,2,51.534997,0.0760014
Abbey Leisure Centre,Cardio Eqmt Mon 09:30,Barking and Dagenham,Everyone Active,2,51.534997,0.0760014
Abbey Leisure Centre,Comp Stage 8 Fri 17:45 Sm,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Comp Stage 8 Fri 18:30 Vg,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Comp Stage 8 Sat 1200 Db,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Comp Stage 8 Sun 1330ld,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Comp Stage 8 Wed 18:15cc,Barking and Dagenham,Everyone Active,1,51.534997,0.0760014
Abbey Leisure Centre,Core Fitness Tue 19:00,Barking and Dagenham,Everyone Active,2,51.534997,0.0760014
Abbey Leisure Centre,Family Swimming Fri 12:00,Barking and Dagenham,Everyone Active,2,51.534997,0.0760014
Abbey Leisure Centre,Family Swimming Mon 12:00,Barking and Dagenham,Everyone Active,2,51.534997,0.0760014
