Respondent_Serial,Region_name,CSP_name,wt_gross,GEND3,SCHYR_5_2,eth6,Disab_All_POP,IMD_QUINTILE,IMDDECILE,urbanrural2,mins_modplus_everywhere_Week_ALL,mins_modplus_inschool_Week_ALL,mins_modplus_outschool_Week_ALL,Week_60plus_MP_ALL_GR4,DAYSNUMMPWK_everywhere,Days_60plus_MP_ALL,WellB_Happy,WellB_Lifesat,SchTrav_bcd_ACTIVE,Daily_mile,gender_label,year_band,ethnicity_label,meets_guideline
185354,7,43,138.047659751006,2.0,1,1.0,1.0,3,6,1,340,80,260,3,6,2,-98.0,-98.0,2,2.0,Girl,Yr1-2,White British,0.0
185495,7,43,218.177062066484,2.0,1,1.0,3.0,3,6,1,185,40,145,4,3,1,-98.0,-98.0,2,2.0,Girl,Yr1-2,White British,0.0
186435,7,43,135.938337439097,1.0,1,1.0,1.0,3,6,1,1115,190,925,1,7,7,-98.0,-98.0,2,2.0,Boy,Yr1-2,White British,1.0
188581,7,43,218.177062066484,2.0,1,1.0,3.0,3,6,1,190,90,100,4,2,2,-98.0,-98.0,2,2.0,Girl,Yr1-2,White British,0.0
196507,7,43,135.938337439097,1.0,1,1.0,2.0,3,6,1,255,105,150,3,4,1,-98.0,-98.0,2,2.0,Boy,Yr1-2,White British,0.0
199676,7,43,137.400285957217,1.0,2,1.0,2.0,3,6,1,325,215,110,3,4,3,10.0,-98.0,1,2.0,Boy,Yr1-2,White British,0.0
199700,7,43,137.400285957217,1.0,2,1.0,2.0,3,6,1,825,275,550,1,7,7,8.0,-98.0,2,2.0,Boy,Yr1-2,White British,1.0
199711,7,43,134.412334625165,2.0,2,1.0,3.0,3,6,1,1060,565,495,1,7,7,6.0,-98.0,2,2.0,Girl,Yr1-2,White British,1.0
199730,7,43,137.400285957217,1.0,2,1.0,2.0,3,6,1,220,105,115,3,2,2,10.0,-98.0,2,2.0,Boy,Yr1-2,White British,0.0
199799,7,43,143.937848867073,2.0,2,1.0,2.0,3,6,1,710,335,375,2,5,4,8.0,-98.0,2,2.0,Girl,Yr1-2,White British,1.0
199809,7,43,152.858773128796,1.0,2,1.0,3.0,3,6,1,440,90,350,2,6,4,8.0,-98.0,2,2.0,Boy,Yr1-2,White British,1.0
199852,7,43,132.915796600836,2.0,3,1.0,2.0,3,6,1,295,145,150,3,4,3,10.0,-98.0,2,2.0,Girl,Yr3-4,White British,0.0
200346,7,43,135.938337439097,1.0,1,1.0,1.0,3,6,1,1535,520,1015,1,7,7,-98.0,-98.0,1,2.0,Boy,Yr1-2,White British,1.0
200347,7,43,135.938337439097,1.0,1,5.0,2.0,3,6,1,155,60,95,4,3,1,-98.0,-98.0,2,2.0,Boy,Yr1-2,Black,0.0
200350,7,43,218.177062066484,2.0,1,1.0,2.0,3,6,1,0,0,0,4,0,0,-98.0,-98.0,2,2.0,Girl,Yr1-2,White British,0.0
200352,7,43,209.038785616767,1.0,1,5.0,2.0,3,6,1,170,100,70,4,2,1,-98.0,-98.0,2,2.0,Boy,Yr1-2,Black,0.0
200488,7,43,209.038785616767,1.0,1,1.0,2.0,3,6,1,830,240,590,1,7,7,-98.0,-98.0,1,2.0,Boy,Yr1-2,White British,1.0
200526,7,43,138.047659751006,2.0,1,1.0,2.0,3,6,1,530,215,315,2,7,5,-98.0,-98.0,2,2.0,Girl,Yr1-2,White British,1.0
201259,7,43,138.047659751006,2.0,1,1.0,1.0,3,6,1,885,175,710,1,7,7,-98.0,-98.0,2,2.0,Girl,Yr1-2,White British,1.0
201795,7,43,113.440657985198,1.0,3,1.0,2.0,3,6,1,530,200,330,2,6,3,10.0,-98.0,1,2.0,Boy,Yr3-4,White British,1.0
201820,7,43,132.917972855882,1.0,3,1.0,2.0,3,6,1,920,430,490,2,6,6,10.0,-98.0,1,2.0,Boy,Yr3-4,White British,1.0
201903,7,43,96.4801634872633,2.0,3,1.0,1.0,3,6,1,1150,290,860,1,7,7,3.0,-98.0,1,2.0,Girl,Yr3-4,White British,1.0
201916,7,43,96.4801634872633,2.0,3,1.0,2.0,3,6,1,170,85,85,4,5,1,2.0,-98.0,1,2.0,Girl,Yr3-4,White British,0.0
202250,7,43,209.038785616767,1.0,1,1.0,2.0,3,6,1,1420,140,1280,1,7,7,-98.0,-98.0,2,2.0,Boy,Yr1-2,White British,1.0
202631,7,43,209.038785616767,1.0,1,1.0,2.0,3,6,1,1995,570,1425,1,7,7,-98.0,-98.0,1,2.0,Boy,Yr1-2,White British,1.0
206043,7,43,132.915796600836,2.0,3,1.0,3.0,3,6,1,880,195,685,2,7,6,3.0,-98.0,2,2.0,Girl,Yr3-4,White British,1.0
206071,7,43,113.440657985198,1.0,3,1.0,2.0,3,6,1,50,15,35,4,1,0,6.0,-98.0,1,2.0,Boy,Yr3-4,White British,0.0
209115,7,43,135.938337439097,1.0,1,1.0,2.0,3,6,1,425,120,305,2,7,5,-98.0,-98.0,2,2.0,Boy,Yr1-2,White British,1.0
117699,7,43,209.038785616767,1.0,1,1.0,2.0,4,8,1,290,70,220,3,5,1,-98.0,-98.0,1,2.0,Boy,Yr1-2,White British,0.0
120450,7,43,218.177062066484,2.0,1,1.0,2.0,4,8,1,445,240,205,2,6,1,-98.0,-98.0,1,2.0,Girl,Yr1-2,White British,1.0
120486,7,43,209.038785616767,1.0,1,1.0,2.0,4,8,1,95,20,75,4,2,0,-98.0,-98.0,2,2.0,Boy,Yr1-2,White British,0.0
122115,7,43,218.177062066484,2.0,1,1.0,2.0,4,8,1,410,130,280,3,7,3,-98.0,-98.0,1,2.0,Girl,Yr1-2,White British,0.0
123361,7,43,218.177062066484,2.0,1,1.0,2.0,4,8,1,810,250,560,1,7,7,-98.0,-98.0,1,2.0,Girl,Yr1-2,White British,1.0
126728,7,43,134.412334625165,2.0,2,1.0,2.0,4,8,1,125,25,100,4,1,1,9.0,-98.0,2,2.0,Girl,Yr1-2,White British,0.0
126731,7,43,134.412334625165,2.0,2,1.0,2.0,4,8,1,190,55,135,4,5,1,9.0,-98.0,1,2.0,Girl,Yr1-2,White British,0.0
126736,7,43,137.400285957217,1.0,2,1.0,1.0,4,8,1,0,0,0,4,0,0,10.0,-98.0,1,2.0,Boy,Yr1-2,White British,0.0
126738,7,43,137.400285957217,1.0,2,1.0,3.0,4,8,1,655,255,400,2,7,6,10.0,-98.0,1,2.0,Boy,Yr1-2,White British,1.0
126739,7,43,134.412334625165,2.0,2,1.0,2.0,4,8,1,320,65,255,3,6,2,5.0,-98.0,2,2.0,Girl,Yr1-2,White British,0.0
126745,7,43,137.400285957217,1.0,2,1.0,3.0,4,8,1,630,205,425,2,6,5,10.0,-98.0,2,2.0,Boy,Yr1-2,White British,1.0
126754,7,43,137.400285957217,1.0,2,1.0,3.0,4,8,1,0,0,0,4,0,0,5.0,-98.0,1,2.0,Boy,Yr1-2,White British,0.0
126780,7,43,134.412334625165,2.0,2,1.0,3.0,4,8,1,0,0,0,4,0,0,10.0,-98.0,2,2.0,Girl,Yr1-2,White British,0.0
126811,7,43,134.412334625165,2.0,2,1.0,2.0,4,8,1,300,245,55,3,5,2,9.0,-98.0,1,2.0,Girl,Yr1-2,White British,0.0
126814,7,43,137.400285957217,1.0,2,1.0,4.0,4,8,1,330,195,135,3,6,2,8.0,-98.0,2,2.0,Boy,Yr1-2,White British,0.0
126815,7,43,137.400285957217,1.0,2,1.0,2.0,4,8,1,325,170,155,3,6,1,10.0,-98.0,2,2.0,Boy,Yr1-2,White British,0.0
126829,7,43,134.412334625165,2.0,2,1.0,2.0,4,8,1,545,95,450,2,5,2,7.0,-98.0,1,2.0,Girl,Yr1-2,White British,1.0
126856,7,43,137.400285957217,1.0,2,1.0,2.0,4,8,1,250,35,215,3,7,0,9.0,-98.0,1,2.0,Boy,Yr1-2,White British,0.0
