name,activity_type,venue,address,town,postcode,latitude,longitude,provider
Cc St2 Skill Mon 09:30,,Moulton Leisure Centre,"Gate 4, Moulton College",Moult,NN3 7QL,52.295841,-0.86878,Everyone Active
Splash Beginner 10:00,,West Lindsey Leisure Centre,The Avenue,Gainsborough,DN21 1EP,53.4073051935521,-0.768766206745908,Everyone Active
Splash Advanced 10:00,,West Lindsey Leisure Centre,The Avenue,Gainsborough,DN21 1EP,53.4073051935521,-0.768766206745908,Everyone Active
Stage 2 Crash Course,,The Reef,Weybourne Road  ,Sheringham ,NR26 8HF,52.941929,1.20224,Everyone Active
Distance Award 10:00,,West Lindsey Leisure Centre,The Avenue,Gainsborough,DN21 1EP,53.4073051935521,-0.768766206745908,Everyone Active
Yin Yoga Course,,The Grange Community and Leisure Centre,Bepton Road,Midhurst,GU29 9HD,50.9842710169767,-0.739553381198106,Everyone Active
Adult Improvers 10:30,,Taro Leisure Centre,Penns Place,Petersfield,GU31 4EX,51.0054003489111,-0.909314703982545,Everyone Active
Water Polo 13:30,,Godalming Leisure Centre,"Broadwater Park, ",Summers Rd ,GU7 3BH,51.20051,-0.59786,Everyone Active
Water Saftey S3&4,,Victory Swim and Fitness Centre ,Station Road,North Walsham,NR28 0DZ,52.81839,1.37891,Everyone Active
Dive Taster Thur 16:00 Jg,,Harrow Lodge L C,Hornchurch Road,Hornchurch,RM11 1JU,51.56477,0.20123,Everyone Active
Dive Teen Thurs 17:30 Bm,,Harrow Lodge L C,Hornchurch Road,Hornchurch,RM11 1JU,51.56477,0.20123,Everyone Active
Dive Sen Thurs 17:00 Bm,,Harrow Lodge L C,Hornchurch Road,Hornchurch,RM11 1JU,51.56477,0.20123,Everyone Active
Football 2-4 Tue 10:30,,Bracknell Leisure Centre,Bagshot Road,Bracknell,RG12 9SE,51.4019048955649,-0.747568009400993,Everyone Active
Netball 7-9 Thu 18:15,,Bracknell Leisure Centre,Bagshot Road,Bracknell,RG12 9SE,51.4019048955649,-0.747568009400993,Everyone Active
Netball 9-11 Thu 18:15,,Bracknell Leisure Centre,Bagshot Road,Bracknell,RG12 9SE,51.4019048955649,-0.747568009400993,Everyone Active
L1-3 7-11y Thu 1700,,Bracknell Leisure Centre,Bagshot Road,Bracknell,RG12 9SE,51.4019048955649,-0.747568009400993,Everyone Active
Cc W P Jun Sun 1530 Tz	,,Weymouth Swimming Pool and Fitness Centre,Knightsdale Road,Weymouth,DT4 0HX,50.6091050226213,-2.47035748406142,Everyone Active
Cc W P Adult Sun 1530 Tz	,,Weymouth Swimming Pool and Fitness Centre,Knightsdale Road,Weymouth,DT4 0HX,50.6091050226213,-2.47035748406142,Everyone Active
Badminton 11-15 Sun 10:30,,Harpenden Leisure Centre,Leyton Road,Harpenden ,AL5 2HU,51.81509,-0.35626,Everyone Active
Adult Imp Thu 19:15 Dd,,Harrow Leisure Centre,Christchurch Avenue,Harrow,HA3 5BD,51.5922882290769,-0.327507724853489,Everyone Active
Clinic Front Tues 16:30 M,,Becontree Heath Leisure Centre,Althorne Way,Dagenham,RM10 7FH,51.56090590363,0.148615772836137,Everyone Active
Clinic Back Tues 16:00 Mw,,Becontree Heath Leisure Centre,Althorne Way,Dagenham,RM10 7FH,51.56090590363,0.148615772836137,Everyone Active
Clinic Breasttues 17:30 M,,Becontree Heath Leisure Centre,Althorne Way,Dagenham,RM10 7FH,51.56090590363,0.148615772836137,Everyone Active
Clinic Fly Tues 17:00 Mw,,Becontree Heath Leisure Centre,Althorne Way,Dagenham,RM10 7FH,51.56090590363,0.148615772836137,Everyone Active
Diving Tid Lesson Taster,,Ponds Forge Sports Centre,Sheaf Street,Sheffield City Centre,S1 2BP,53.38238,-1.46242,Everyone Active
Inclusive Tues 1630 Lw,,Edenbridge Leisure Centre,Stangrove Park,Edenbridge,TN8 5LU,51.20122,0.0624,Everyone Active
A&c 19-36 1245 Taster,,Concord Sports Centre,Shiregreen Lane,Sheffield ,S5 6AE,53.42314,-1.43956,Everyone Active
A&c 4-18m 1215 Taster,,Concord Sports Centre,Shiregreen Lane,Sheffield ,S5 6AE,53.42314,-1.43956,Everyone Active
Cc St4 Skill Mon 1030,,Royston Leisure Centre,Woodcock Road,Royston,SG8 7XT,52.05620901214902,-0.00946194032904903,Everyone Active
Cc St1 Skill Mon 0900,,Royston Leisure Centre,Woodcock Road,Royston,SG8 7XT,52.05620901214902,-0.00946194032904903,Everyone Active
Cc St2 Skill Mon 0930,,Royston Leisure Centre,Woodcock Road,Royston,SG8 7XT,52.05620901214902,-0.00946194032904903,Everyone Active
Badminton 7-11 Sun 09:30,,Harpenden Leisure Centre,Leyton Road,Harpenden ,AL5 2HU,51.81509,-0.35626,Everyone Active
L B T Sat 10:15,,Victory Swim and Fitness Centre ,Station Road,North Walsham,NR28 0DZ,52.81839,1.37891,Everyone Active
Exp 1-4 4-11y Wed 16:15,,Springs Leisure Centre,Bank Road,Sheffield ,S2 2AL,53.35812,-1.43656,Everyone Active
S/c Bs Clinic Thu 17:00 E,,Becontree Heath Leisure Centre,Althorne Way,Dagenham,RM10 7FH,51.56090590363,0.148615772836137,Everyone Active
B Ball 7-11 Mon 16:00,,Hemel Hempstead Leisure Centre,Park Road,Hemel Hempstead,HP1 1JS,51.745522,-0.477252,Everyone Active
Exp 1-4 8-11y Sat 11:00,,Springs Leisure Centre,Bank Road,Sheffield ,S2 2AL,53.35812,-1.43656,Everyone Active
B Ball 11-15 Mon 17:00,,Hemel Hempstead Leisure Centre,Park Road,Hemel Hempstead,HP1 1JS,51.745522,-0.477252,Everyone Active
L1 4-5yrs Fri 14:15,,Horfield Leisure Centre,Dorian Road,Bristol,BS7 0XW,51.4934804071494,-2.58396152883608,Everyone Active
L1 4-5yrs Fri 13:30,,Horfield Leisure Centre,Dorian Road,Bristol,BS7 0XW,51.4934804071494,-2.58396152883608,Everyone Active
Stage 1 Mon 15:45 Tg,,Heeley Pool And Gym,Broadfield Road,Sheffield ,S8 0XQ,53.3591,-1.47929,Everyone Active
Basketball 11-15 Mon 1800,,Harpenden Leisure Centre,Leyton Road,Harpenden ,AL5 2HU,51.81509,-0.35626,Everyone Active
Cc Stage 3,,Godalming Leisure Centre,"Broadwater Park, ",Summers Rd ,GU7 3BH,51.20051,-0.59786,Everyone Active
