session_id,provider_group,source_operator,name,activity_type,activity_raw,is_free,price_gbp,location_name,postcode,borough,latitude,longitude,start_time,end_time,days_of_week,session_count,is_online,url
TH_0,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Aerobics,Group Exercise,Tiller Group Ex,False,16.65,Tiller Leisure Centre,E14 8PX,Tower Hamlets,51.496328266681,-0.0218796717363112,18:00,19:00,Wednesday,1,False,https://be-well.org.uk/centres/tiller-leisure-centre/
TH_1,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Aerobics Basic,Group Exercise,John Orwell Group Ex,False,16.65,John Orwell Sports Centre,E1W 2QD,Tower Hamlets,51.50487234184735,-0.0614756998345731,10:30,11:30,Wednesday,1,False,https://be-well.org.uk/centres/john-orwell-sports-centre/
TH_2,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Aerobics Basic,Group Exercise,Tiller Group Ex,False,16.65,Tiller Leisure Centre,E14 8PX,Tower Hamlets,51.496328266681,-0.0218796717363112,09:30,10:30,Wednesday,1,False,https://be-well.org.uk/centres/tiller-leisure-centre/
TH_3,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Aqua Aerobics,Swimming,Tiller Group Ex,False,16.65,Tiller Leisure Centre,E14 8PX,Tower Hamlets,51.496328266681,-0.0218796717363112,09:00,10:00,Thursday,1,False,https://be-well.org.uk/centres/tiller-leisure-centre/
TH_4,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Aqua Aerobics,Swimming,York Hall Group Ex,False,16.65, York Hall Leisure Centre,E2 9PJ,Tower Hamlets,51.52995217963927,-0.0558973331840584,18:30,19:30,Monday,2,False,https://be-well.org.uk/centres/york-hall-leisure-centre/
TH_5,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Aqua Aerobics - W.O,Swimming,Mile End Group Ex,False,16.65,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,12:30,13:30,Tuesday,1,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
TH_6,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Aqua Aerobics - W.O,Swimming,Tiller Group Ex,False,16.65,Tiller Leisure Centre,E14 8PX,Tower Hamlets,51.496328266681,-0.0218796717363112,19:00,20:00,Thursday,1,False,https://be-well.org.uk/centres/tiller-leisure-centre/
TH_7,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Aqua Aerobics - W.O,Swimming,York Hall Group Ex,False,16.65, York Hall Leisure Centre,E2 9PJ,Tower Hamlets,51.52995217963927,-0.0558973331840584,19:00,20:00,Tuesday,1,False,https://be-well.org.uk/centres/york-hall-leisure-centre/
TH_8,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Athletics Drop In,Walking / Running,Track Sessions,False,5.3,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,12:00,13:00,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",14,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
TH_9,Be Well - Tower Hamlets,Be Well - London Borough of Tower Hamlets,Ballet Fit,Other / Unspecified,Mile End Group Ex,False,16.65,Mile End Park Leisure Centre,E3 4HL,Tower Hamlets,51.51953920090171,-0.0322499306855374,10:45,11:30,Wednesday,1,False,https://be-well.org.uk/centres/mile-end-leisure-centre-and-stadium/
